epoch,loss,accuracy,training_time,interference_count,memory_utilization
1,0.7005006191134453,0.54,2.824173927307129,0,200
2,0.6966009920835495,0.45,5.44029688835144,0,400
3,0.6931471824645996,0.52,8.021988153457642,0,600
4,0.6931471824645996,0.52,10.516613006591797,0,800
5,0.6931471824645996,0.52,13.15907621383667,0,1000
6,0.6931471824645996,0.52,15.741758823394775,0,1200
7,0.6931471824645996,0.52,18.25780701637268,0,1400
8,0.6931471824645996,0.52,20.84840416908264,0,1600
9,0.6931234657764435,0.52,23.479875087738037,0,1800
10,0.6930574053525924,0.52,25.773300886154175,0,2000
